Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
41,521,18,3.45489443378119,30.9176493285567,21.637568732333,82.1264434953102,0.213759361710136,0.0466297843513604,0,1
42,392,5,1.27551020408163,29.6955985032333,17.335113243891,-69.8867998164305,0.529611844737895,0.019797919167667,0,1
43,1578,695,44.04309252218,69.9965460633094,34.6646658726857,86.983097925069,0.301172991376526,0.12543552275156,2,1
44,512,0,0,44.8085439841,15.8852572963528,75.8003622400053,0.18396905637255,0.00350030637254901,0,1
45,418,250,59.8086124401914,24.6054197289228,21.8678084227484,64.2306967933775,0.452856740782437,0.168355380429685,1,1
46,165,0,0,20.838287436703,10.3532701492967,-15.4101534525202,0.365062388591801,0.0117647058823529,0,1
47,344,199,57.8488372093023,22.111949650954,20.1841001882434,1.49493883521886,0.519642042863656,0.170747834017328,1,1
48,404,394,97.5247524752475,23.2899568020617,22.2022565722817,3.67553600954466,0.505047563579887,0.386497767423801,1,1
49,127,0,0,17.8833977380641,9.32452294762695,-33.5276817377809,0.319221861973136,0.0378879110699397,0,1
50,321,1,0.311526479750779,32.058903302681,12.9979141638173,61.5666175609078,0.37918270111783,0.0230040926027731,0,1
51,118,79,66.9491525423729,21.5919862969786,7.2574081729854,47.1579957878254,0.314257228315054,0.160086407444333,1,1
52,1440,380,26.3888888888889,98.959192809909,25.7666577323335,87.209801692906,0.33306917211329,0.0849373638344235,2,1
53,1259,958,76.0921366163622,67.2643691497898,34.747154670644,81.3680198520168,0.478901711598062,0.253693407466244,2,1
54,725,370,51.0344827586207,36.855187546823,25.5278516748716,-44.9300894620212,0.445181879648411,0.170677484787019,1,1
55,203,10,4.92610837438424,22.5940886839878,11.9243889760775,43.3598111936011,0.323461798512509,0.0407611320390224,0,1
56,205,122,59.5121951219512,22.8379015154833,11.6128978189418,63.0815030590467,0.441071257771402,0.201128646580584,1,1
57,365,246,67.3972602739726,22.8560329438573,20.6614801081285,-37.5224004379259,0.596185871608918,0.251625033575074,1,1
58,411,1,0.24330900243309,24.4304575954576,22.1612854710239,-0.148348225852642,0.0981441725108536,0.00877820714660559,0,3
59,253,0,0,19.0850485998225,16.9847335222993,54.0939635171684,0.127334728357746,0.000434007595132915,0,1
60,379,349,92.0844327176781,24.18803689475,20.0264771832751,-54.8502927652216,0.321723834652595,0.280666356252264,1,1
61,346,269,77.7456647398844,21.5686784706988,20.5622980825158,62.5874324796806,0.668219426498923,0.208262495749745,1,1
62,302,4,1.32450331125828,22.8113183266428,16.9779471269366,79.3671739642146,0.113258018439164,0.00720685625243475,0,1
63,1272,303,23.8207547169811,53.8924701498121,32.9944404074937,-83.8524347048052,0.235660993957332,0.0765754100382297,2,1
