Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
24,280,207,73.9285714285714,27.1127690767518,13.2611189874858,60.2953924946568,0.358221288515406,0.416456582633054,1,1
25,286,186,65.034965034965,20.7335188215883,18.3501713928828,-10.0740352009992,0.253201700260524,0.204511175099411,1,1
26,180,51,28.3333333333333,19.1265674903514,12.1501347343033,-84.3301441475244,0.594335511982571,0.128148148148148,1,1
27,331,319,96.3746223564955,26.1490547826945,17.0348320201155,48.0643257436414,0.325750844144304,0.355132989751792,1,1
28,400,325,81.25,28.6488314637471,18.7253337067323,44.9912737165518,0.315509803921569,0.286186274509804,1,1
29,393,316,80.4071246819338,28.5514631724896,18.530132467208,59.7828197767267,0.291842538542135,0.413461058723744,1,1
30,275,239,86.9090909090909,25.2675142421731,14.3268755924649,72.7013979197546,0.31111586452763,0.353212121212121,1,1
31,231,116,50.2164502164502,22.0321798999975,13.5792648240262,18.4548098560263,0.240166369578135,0.174671080553433,1,1
32,258,217,84.1085271317829,23.9333721311322,14.0169923054137,-86.3109594973972,0.320899832801338,0.375497796017632,1,1
33,429,86,20.04662004662,27.1575304321771,20.8661283561978,-41.4400908730542,0.212102929749989,0.08472050824992,1,1
34,191,41,21.4659685863874,18.0557161165448,13.6042751153672,-88.0487221616142,0.145139102761523,0.101283235807412,1,1
35,800,636,79.5,38.4372200446829,28.3023388062417,42.4501479942436,0.300661764705883,0.280102941176472,1,1
36,272,0,0,24.4312683946106,14.4115902972498,75.0115068800731,0.171049596309112,0.000245098039215686,0,1
37,265,212,80,22.2946400212095,15.2218491858036,82.1255459152966,0.525578986311506,0.353562708102109,1,1
38,248,202,81.4516129032258,23.0681318395627,13.8612632840109,73.8184958460879,0.160262492093612,0.319481340923466,1,1
39,180,3,1.66666666666667,18.2916969597559,12.9752469035853,79.2640349429593,0.163289760348584,0.0208932461873638,0,1
40,185,0,0,19.9273108308652,11.9008778138781,-78.3537442589733,0.320233174350821,0.0157074721780604,0,1
41,320,214,66.875,24.6059354757236,16.7901267425589,79.788147147329,0.784325980392156,0.186973039215687,1,1
42,247,184,74.4939271255061,21.9228086344894,14.4783482969102,46.4014991918823,0.167770103993014,0.259617369214893,1,1
43,876,787,89.8401826484018,51.4963785042349,34.3668518792425,61.3122716209164,0.570722535589578,0.339623063837407,2,1
44,150,0,0,17.1906987573774,11.3499744791585,-89.4818103646771,0.469751633986928,0.0324967320261437,0,1
45,338,267,78.9940828402367,29.7978581824673,15.1240218769098,78.4971158294475,0.345469311985149,0.295150249448892,1,1
46,327,255,77.9816513761468,31.5369384657715,13.3781325489666,77.4067096688012,0.411117107393416,0.337638664028303,1,1
47,190,143,75.2631578947368,18.9497905191333,12.9165497832123,-81.0053855614564,0.356573787409701,0.280082559339526,1,1
48,250,1,0.4,20.4166156056471,15.6848357937823,49.2518007335268,0.15518431372549,0.00487843137254902,0,1
49,455,318,69.8901098901099,34.6648103743785,17.5678041239699,42.223980733913,0.450480499892265,0.213083387201035,1,1
50,74,0,0,13.6054985872296,7.26718690181016,32.3739797389723,0.269263381028087,0.0146793852676206,0,1
51,373,335,89.8123324396783,23.4646793772173,20.6717097888833,-42.1814340251391,0.741081848288912,0.255091205382958,1,1
52,220,154,70,20.1654120043486,14.213159386347,72.7284647935449,0.31222816399287,0.199197860962567,1,1
53,452,285,63.0530973451327,30.1730328440609,19.2779460100074,-79.348619211161,0.290239458615305,0.194429984383135,1,1
54,678,543,80.0884955752212,32.5393659742313,29.1879522695341,50.763407286263,0.684365781710913,0.293313667649951,2,1
55,268,268,100,23.5534333255571,14.5884744168481,66.9401317152152,0.2852794849283,0.367456833479661,1,1
56,419,158,37.708830548926,24.9667536400052,21.7282012224067,-80.4385930211651,0.235078852543405,0.136478075717161,1,1
57,600,0,0,31.689970306742,24.1965425391045,-76.2648103984395,0.158477124183007,0.00367320261437908,0,1
58,189,0,0,20.8222571675654,11.854977450573,56.8189364934336,0.166158315177923,0.0205830480340284,0,1
59,299,11,3.67892976588629,21.5735774574275,17.7469630168909,-84.705318841353,0.187710669552102,0.0303364155026559,0,1
60,310,252,81.2903225806452,27.0648822074967,14.8367594745214,78.133156099949,0.60976597090449,0.282669196710943,1,1
61,198,0,0,19.7363748177784,12.9070138866699,-65.1417326771127,0.681481481481481,0.00891265597147949,0,1
62,175,91,52,18.6988653567258,12.0656029483444,82.3737914997834,0.519103641456583,0.217187675070028,1,1
63,321,252,78.5046728971963,25.1886498125767,16.381233785613,77.2408383688059,0.415002137926822,0.298491234500031,1,1
64,355,303,85.3521126760563,30.9802505034138,14.8791330060885,80.4765399653947,0.434288870477769,0.305871306268987,1,1
65,359,175,48.7465181058496,24.2636664304877,19.2182031294704,58.4680217341219,0.309399748757442,0.153421814408215,1,1
66,341,275,80.6451612903226,26.4339048622314,17.307134721931,64.875816575548,0.317463055603474,0.289195560922317,1,1
